path_id,seed,rho,pin_gain,hit_s
385,734921,1.0,3.0,0.8725
386,734921,1.0,3.0,0.5125
387,734921,1.0,3.0,0.9480000000000001
388,734921,1.0,3.0,0.55
389,734921,1.0,3.0,1.374
390,734921,1.0,3.0,0.484
391,734921,1.0,3.0,0.905
392,734921,1.0,3.0,0.311
393,734921,1.0,3.0,0.47300000000000003
394,734921,1.0,3.0,0.62
395,734921,1.0,3.0,0.7785
396,734921,1.0,3.0,0.579
397,734921,1.0,3.0,0.584
398,734921,1.0,3.0,0.964
399,734921,1.0,3.0,1.3345
400,734921,1.0,3.0,1.09
401,734921,1.0,3.0,0.6335000000000001
402,734921,1.0,3.0,0.682
403,734921,1.0,3.0,0.7955
404,734921,1.0,3.0,0.333
405,734921,1.0,3.0,1.1135
406,734921,1.0,3.0,1.579
407,734921,1.0,3.0,0.6435
408,734921,1.0,3.0,1.2365
409,734921,1.0,3.0,0.6975
410,734921,1.0,3.0,0.7035
411,734921,1.0,3.0,0.5305
412,734921,1.0,3.0,1.7575
413,734921,1.0,3.0,0.4805
414,734921,1.0,3.0,0.5865
415,734921,1.0,3.0,1.01
416,734921,1.0,3.0,1.6495
417,734921,1.0,3.0,0.901
418,734921,1.0,3.0,1.036
419,734921,1.0,3.0,0.909
420,734921,1.0,3.0,0.7085
421,734921,1.0,3.0,0.5055000000000001
422,734921,1.0,3.0,0.5515
423,734921,1.0,3.0,0.47350000000000003
424,734921,1.0,3.0,0.516
425,734921,1.0,3.0,0.34850000000000003
426,734921,1.0,3.0,0.9585
427,734921,1.0,3.0,0.8055
428,734921,1.0,3.0,0.642
429,734921,1.0,3.0,0.841
430,734921,1.0,3.0,0.3705
431,734921,1.0,3.0,0.426
432,734921,1.0,3.0,0.866
433,734921,1.0,3.0,0.359
434,734921,1.0,3.0,0.396
435,734921,1.0,3.0,1.8415000000000001
436,734921,1.0,3.0,0.9355
437,734921,1.0,3.0,1.3685
438,734921,1.0,3.0,0.47400000000000003
439,734921,1.0,3.0,0.6125
440,734921,1.0,3.0,0.513
441,734921,1.0,3.0,0.7035
442,734921,1.0,3.0,1.056
443,734921,1.0,3.0,1.3095
444,734921,1.0,3.0,0.974
445,734921,1.0,3.0,0.6805
446,734921,1.0,3.0,0.6115
447,734921,1.0,3.0,0.6005
448,734921,1.0,3.0,0.32
449,734921,1.0,3.0,0.7825
450,734921,1.0,3.0,0.868
451,734921,1.0,3.0,0.304
452,734921,1.0,3.0,0.678
453,734921,1.0,3.0,0.5555
454,734921,1.0,3.0,0.8295
455,734921,1.0,3.0,0.419
456,734921,1.0,3.0,1.1915
457,734921,1.0,3.0,1.073
458,734921,1.0,3.0,1.6085
459,734921,1.0,3.0,0.806
460,734921,1.0,3.0,0.9815
461,734921,1.0,3.0,0.615
462,734921,1.0,3.0,0.4465
463,734921,1.0,3.0,0.5525
464,734921,1.0,3.0,0.511
465,734921,1.0,3.0,0.9795
466,734921,1.0,3.0,0.40800000000000003
467,734921,1.0,3.0,0.8925000000000001
468,734921,1.0,3.0,0.401
469,734921,1.0,3.0,0.999
470,734921,1.0,3.0,0.5895
471,734921,1.0,3.0,1.053
472,734921,1.0,3.0,1.731
473,734921,1.0,3.0,0.23900000000000002
474,734921,1.0,3.0,1.483
475,734921,1.0,3.0,0.47050000000000003
476,734921,1.0,3.0,0.7020000000000001
477,734921,1.0,3.0,0.386
478,734921,1.0,3.0,0.5925
479,734921,1.0,3.0,1.0595
480,734921,1.0,3.0,0.397
481,734921,1.0,3.0,2.2955
482,734921,1.0,3.0,0.9585
483,734921,1.0,3.0,0.31
484,734921,1.0,3.0,0.388
485,734921,1.0,3.0,0.6855
486,734921,1.0,3.0,3.5945
487,734921,1.0,3.0,1.0315
488,734921,1.0,3.0,0.6975
489,734921,1.0,3.0,1.9035
490,734921,1.0,3.0,0.327
491,734921,1.0,3.0,0.47500000000000003
492,734921,1.0,3.0,1.02
493,734921,1.0,3.0,1.0275
494,734921,1.0,3.0,1.9915
495,734921,1.0,3.0,0.7565000000000001
496,734921,1.0,3.0,0.5965
497,734921,1.0,3.0,0.8210000000000001
498,734921,1.0,3.0,0.374
499,734921,1.0,3.0,0.712
500,734921,1.0,3.0,2.076
501,734921,1.0,3.0,0.858
502,734921,1.0,3.0,1.464
503,734921,1.0,3.0,0.6795
504,734921,1.0,3.0,0.47350000000000003
505,734921,1.0,3.0,0.918
506,734921,1.0,3.0,0.6995
507,734921,1.0,3.0,1.309
508,734921,1.0,3.0,0.28150000000000003
509,734921,1.0,3.0,0.275
510,734921,1.0,3.0,0.604
511,734921,1.0,3.0,0.8200000000000001
512,734921,1.0,3.0,0.708
513,734921,1.0,3.0,0.763
514,734921,1.0,3.0,0.8565
515,734921,1.0,3.0,1.4535
516,734921,1.0,3.0,0.6405
517,734921,1.0,3.0,0.2445
518,734921,1.0,3.0,1.704
519,734921,1.0,3.0,0.753
520,734921,1.0,3.0,0.8975
521,734921,1.0,3.0,0.711
522,734921,1.0,3.0,0.4485
523,734921,1.0,3.0,0.28450000000000003
524,734921,1.0,3.0,1.2610000000000001
525,734921,1.0,3.0,0.513
526,734921,1.0,3.0,0.9425
527,734921,1.0,3.0,1.821
528,734921,1.0,3.0,0.41200000000000003
529,734921,1.0,3.0,0.222
530,734921,1.0,3.0,0.434
531,734921,1.0,3.0,0.8055
532,734921,1.0,3.0,0.631
533,734921,1.0,3.0,2.141
534,734921,1.0,3.0,1.2355
535,734921,1.0,3.0,0.742
536,734921,1.0,3.0,0.302
537,734921,1.0,3.0,0.487
538,734921,1.0,3.0,0.378
539,734921,1.0,3.0,0.291
540,734921,1.0,3.0,1.278
541,734921,1.0,3.0,1.025
542,734921,1.0,3.0,0.7415
543,734921,1.0,3.0,0.835
544,734921,1.0,3.0,0.8225
545,734921,1.0,3.0,0.47100000000000003
546,734921,1.0,3.0,0.524
547,734921,1.0,3.0,0.484
548,734921,1.0,3.0,0.7485
549,734921,1.0,3.0,0.538
550,734921,1.0,3.0,0.538
551,734921,1.0,3.0,0.6535
552,734921,1.0,3.0,1.0645
553,734921,1.0,3.0,0.674
554,734921,1.0,3.0,0.8300000000000001
555,734921,1.0,3.0,0.766
556,734921,1.0,3.0,1.192
557,734921,1.0,3.0,0.686
558,734921,1.0,3.0,0.7465
559,734921,1.0,3.0,0.3185
560,734921,1.0,3.0,0.791
561,734921,1.0,3.0,0.74
562,734921,1.0,3.0,0.3635
563,734921,1.0,3.0,0.187
564,734921,1.0,3.0,1.5965
565,734921,1.0,3.0,1.089
566,734921,1.0,3.0,0.984
567,734921,1.0,3.0,1.41
568,734921,1.0,3.0,2.236
