time_s,leader,state_full_1,state_full_2,state_full_3,state_full_4,error_full_1,error_full_2,error_full_3,error_full_4,error_power_1,error_power_2,error_power_3,error_power_4,error_linear_1,error_linear_2,error_linear_3,error_linear_4,error_none_1,error_none_2,error_none_3,error_none_4,hit_time_full_s
0.365,1.0914767476188492,1.0914767476188492,1.0914767476188492,1.0914767476188492,1.0914767476188492,0.0,0.0,0.0,0.0,0.3998438937621674,0.06895774731472212,-1.5338619382686391,-0.5116727619848115,0.0,0.0,0.0,0.0,3.122221195314236,2.1202814195452775,-6.972452171264106,-2.9044793538025355,0.221
0.3655,1.0917022227936821,1.0917022227936821,1.0917022227936821,1.0917022227936821,1.0917022227936821,0.0,0.0,0.0,0.0,0.4600143552018334,0.08810838688226239,-1.7294156032393837,-0.5772167976597207,0.0,0.0,0.0,0.0,3.122372804824262,2.120430926704681,-6.973800221946799,-2.9057885182476237,0.221
0.366,1.0919280931546866,1.0919280931546866,1.0919280931546866,1.0919280931546866,1.0919280931546866,0.0,0.0,0.0,0.0,0.40246645423937766,0.06887805342269315,-1.5468040079437646,-0.5157541899239806,0.0,0.0,0.0,0.0,3.1225243530164777,2.1205803741180973,-6.975148334220833,-2.9070978262938123,0.221
0.3665,1.0921543591598253,1.0921543591598253,1.0921543591598253,1.0921543591598253,1.0921543591598253,0.0,0.0,0.0,0.0,0.2930200682885975,0.03413287960674726,-1.1923896400507876,-0.3967472198462405,0.0,0.0,0.0,0.0,3.1226758398052072,2.1207297617000838,-6.976496508171849,-2.9084072778393963,0.221
0.367,1.0923810212667404,1.0923810212667404,1.0923810212667404,1.0923810212667404,1.0923810212667404,0.0,0.0,0.0,0.0,0.27064979984766246,0.028023131403722656,-1.1168024761995246,-0.3713984885379589,0.0,0.0,0.0,0.0,3.1228272651047595,2.1208790893651828,-6.977844743885503,-2.9097168727830853,0.221
0.3675,1.0926080799327542,1.0926080799327542,1.0926080799327542,1.0926080799327542,1.0926080799327542,0.0,0.0,0.0,0.0,0.3021621008780489,0.03628070783633319,-1.2255642420941149,-0.40765774704206725,0.0,0.0,0.0,0.0,3.12297862882943,2.1210283570279223,-6.979193041447465,-2.911026611024004,0.221
0.368,1.092835535614867,1.092835535614867,1.092835535614867,1.092835535614867,1.092835535614867,0.0,0.0,0.0,0.0,0.2878843452236116,0.03233534512376129,-1.1776339598519507,-0.3915566015247928,0.0,0.0,0.0,0.0,3.123129930893501,2.1211775646028155,-6.980541400943421,-2.9123364924616895,0.221
0.3685,1.0930633887697565,1.0930633887697565,1.0930633887697565,1.0930633887697565,1.0930633887697565,0.0,0.0,0.0,0.0,0.29699085799425906,0.034781498140869276,-1.209174220466133,-0.4020156222429848,0.0,0.0,0.0,0.0,3.123281171211241,2.121326712004363,-6.981889822459067,-2.9136465169960917,0.221
0.369,1.0932916398537782,1.0932916398537782,1.0932916398537782,1.0932916398537782,1.0932916398537782,0.0,0.0,0.0,0.0,0.2930123103493072,0.03368523493836711,-1.1961103231853936,-0.39757228821902296,0.0,0.0,0.0,0.0,3.123432349696907,2.121475799147051,-6.983238306080112,-2.9149566845275716,0.221
0.3695,1.0935202893229632,1.0935202893229632,1.0935202893229632,1.0935202893229632,1.0935202893229632,0.0,0.0,0.0,0.0,0.259261340023087,0.024503997972828775,-1.0815273990699399,-0.35923045074647225,0.0,0.0,0.0,0.0,3.1235834662647437,2.1216248259453536,-6.984586851892279,-2.9162669949569,0.221
0.37,1.093749337633018,1.093749337633018,1.093749337633018,1.093749337633018,1.093749337633018,0.0,0.0,0.0,0.0,0.2354604973070148,0.01842084554286038,-0.9993411949105319,-0.33175206200518736,0.0,0.0,0.0,0.0,3.1237345208289837,2.121773792313732,-6.9859354599813,-2.9175774481852566,0.221
0.3705,1.093978785239324,1.093978785239324,1.093978785239324,1.093978785239324,1.093978785239324,0.0,0.0,0.0,0.0,0.22460620344675664,0.015784958433900882,-0.9614891539423216,-0.31908062767176,0.0,0.0,0.0,0.0,3.123885513303849,2.1219226981666357,-6.987284130432919,-2.9188880441142295,0.221
0.371,1.0942086325969356,1.0942086325969356,1.0942086325969356,1.0942086325969356,1.0942086325969356,0.0,0.0,0.0,0.0,0.23982687128748467,0.019365227222167235,-1.0157424381017965,-0.3370932082734756,0.0,0.0,0.0,0.0,3.1240364436035493,2.1220715434185027,-6.988632863332894,-2.920198782645814,0.221
0.3715,1.094438880160581,1.094438880160581,1.094438880160581,1.094438880160581,1.094438880160581,0.0,0.0,0.0,0.0,0.24213486447343144,0.019920967383841515,-1.024201018733123,-0.3398502352214736,0.0,0.0,0.0,0.0,3.1241873116422854,2.1222203279837593,-6.98998165876699,-2.9215096636824107,0.221
0.372,1.0946695283846606,1.0946695283846606,1.0946695283846606,1.0946695283846606,1.0946695283846606,0.0,0.0,0.0,0.0,0.20347366377902062,0.010420346849314326,-0.8888826799453021,-0.29471824865113216,0.0,0.0,0.0,0.0,3.1243381173342475,2.1223690517768214,-6.991330516820983,-2.9228206871268254,0.221
0.3725,1.0949005777232457,1.0949005777232457,1.0949005777232457,1.0949005777232457,1.0949005777232457,0.0,0.0,0.0,0.0,0.18731884451765896,0.006851655049151974,-0.8309586447683635,-0.27540751429812027,0.0,0.0,0.0,0.0,3.124488860593616,2.122517714712094,-6.99267943758066,-2.9241318528822675,0.221
0.373,1.0951320286300785,1.0951320286300785,1.0951320286300785,1.0951320286300785,1.0951320286300785,0.0,0.0,0.0,0.0,0.19450591568099124,0.008344125911329617,-0.8574228809760471,-0.284160032485782,0.0,0.0,0.0,0.0,3.124639541334562,2.122666316703973,-6.994028421131814,-2.9254431608523497,0.221
0.3735,1.0953638815585716,1.0953638815585716,1.0953638815585716,1.0953638815585716,1.0953638815585716,0.0,0.0,0.0,0.0,0.1691251724970622,0.0029098688279399565,-0.7655643006271776,-0.2535877683558896,0.0,0.0,0.0,0.0,3.124790159471248,2.1228148576668437,-6.995377467560251,-2.9267546109410856,0.221
0.374,1.0955961369618057,1.0955961369618057,1.0955961369618057,1.0955961369618057,1.0955961369618057,0.0,0.0,0.0,0.0,0.14567489752477497,-0.0016257521503370942,-0.678810387638016,-0.22475296609782217,0.0,0.0,0.0,0.0,3.1249407149178285,2.1229633375150825,-6.996726576951784,-2.92806620305289,0.221
0.3745,1.0958287952925307,1.0958287952925307,1.0958287952925307,1.0958287952925307,1.0958287952925307,0.0,0.0,0.0,0.0,0.15295063963727296,-0.00039337528688643915,-0.7066046386666508,-0.23394187805994487,0.0,0.0,0.0,0.0,3.1250912075884494,2.1231117561630577,-6.998075749392232,-2.929377937092577,0.221
0.375,1.0960618570031637,1.0960618570031637,1.0960618570031637,1.0960618570031637,1.0960618570031637,0.0,0.0,0.0,0.0,0.15385944591809045,-0.00023893262267988066,-0.71021405323613,-0.23510871824190896,0.0,0.0,0.0,0.0,3.1252416373972496,2.1232601135251286,-6.9994249849674235,-2.93068981296536,0.221
0.3755,1.0962953225457883,1.0962953225457883,1.0962953225457883,1.0962953225457883,1.0962953225457883,0.0,0.0,0.0,0.0,0.13103987513402937,-0.004309279024296576,-0.6244149885494363,-0.2066263470291541,0.0,0.0,0.0,0.0,3.12539200425836,2.1234084095156467,-7.000774283763194,-2.932001830576849,0.221
0.376,1.0965291923721543,1.0965291923721543,1.0965291923721543,1.0965291923721543,1.0965291923721543,0.0,0.0,0.0,0.0,0.156386396749248,-0.000441908240162782,-0.7225572595129042,-0.23911286294867956,0.0,0.0,0.0,0.0,3.125542308085906,2.123556644048956,-7.002123645865385,-2.9333139898330507,0.221
0.3765,1.0967634669336768,1.0967634669336768,1.0967634669336768,1.0967634669336768,1.0967634669336768,0.0,0.0,0.0,0.0,0.12072087728455473,-0.006760958486790147,-0.5882573910192905,-0.1945627004469139,0.0,0.0,0.0,0.0,3.1256925487940057,2.1237048170393935,-7.003473071359846,-2.9346262906403675,0.221
0.377,1.096998146681435,1.096998146681435,1.096998146681435,1.096998146681435,1.096998146681435,0.0,0.0,0.0,0.0,0.10626540125012532,-0.008703086945831124,-0.5314806574702791,-0.17575332087136666,0.0,0.0,0.0,0.0,3.125842726296772,2.1238529284012895,-7.00482256033243,-2.9359387329055955,0.221
