path_id,seed,hit_rho_0p00_s,j_at_hit_rho_0p00,hit_rho_0p25_s,j_at_hit_rho_0p25,hit_rho_0p50_s,j_at_hit_rho_0p50,hit_rho_0p75_s,j_at_hit_rho_0p75,hit_rho_1p00_s,j_at_hit_rho_1p00
4433,734921,0.191,312.276782667783,0.192,363.3076878976633,0.192,399.62722611505495,0.1965,420.2015714227474,0.224,431.23180517715946
4434,734921,0.28300000000000003,101.80708687218004,0.28300000000000003,87.70742662240738,0.2655,76.60644767183003,0.264,65.90525670619228,0.167,46.68367367204907
4435,734921,0.20750000000000002,1063.568357302829,0.20400000000000001,1131.0004118328334,0.2,1123.9940714286897,0.1955,997.5835006756062,0.17550000000000002,479.26378543328866
4436,734921,0.121,23.70493047777299,0.121,24.79715501151561,0.093,26.729131069897765,0.1385,30.483421989825615,0.1855,47.82887040652778
4437,734921,0.1765,46.63112213518289,0.1765,38.68915506587469,0.1765,32.56963890607024,0.1795,27.396181590181484,0.2025,21.047509583132136
4438,734921,0.227,20.932116522072555,0.23650000000000002,20.880940609026528,0.257,21.68201960952719,0.271,23.88270680462308,0.432,36.14629271661914
4439,734921,0.2285,43.92037593069036,0.2285,57.15114731158654,0.2285,78.66158337429754,0.2285,118.96940455648762,0.2295,296.6233086230617
4440,734921,0.2725,20.212547501562437,0.272,19.022976752233696,0.272,18.36301843374209,0.2695,18.323842688083516,0.2245,21.829741621277776
4441,734921,0.4465,176.0265305674141,0.445,170.29791086973015,0.418,162.39675070759648,0.317,155.79701768507627,0.299,149.32801021959813
4442,734921,0.1995,20.914779874290698,0.2015,21.598574161865752,0.2015,23.535891115283285,0.254,27.999830271475957,0.327,51.411681816236246
4443,734921,0.274,37.66216915254757,0.35100000000000003,46.65853515087927,0.3555,62.80710916844688,0.466,93.84677245922165,0.5690000000000001,194.4176212727332
4444,734921,0.2165,25.00781765351001,0.201,23.82425592299916,0.186,23.723712903883946,0.17550000000000002,24.294903466939072,0.156,27.62628894915478
4445,734921,0.1935,21.666162770659888,0.20500000000000002,20.29446112419161,0.2685,19.680001045180507,0.3015,20.654422728085073,0.34750000000000003,47.47108101728431
4446,734921,0.461,1340.2079506755997,0.4875,2110.00239412348,0.5015000000000001,2853.7005859454684,0.5155,3056.0964691418417,0.5775,1848.6557074315353
4447,734921,0.1575,76.06232550624563,0.1525,60.34707182878932,0.151,49.93302915733358,0.1445,43.53076665625246,0.14350000000000002,47.67006450419492
4448,734921,0.397,12294.973147555665,0.4025,10416.95495736759,0.405,8455.389157239946,0.406,6597.5278367901565,0.405,3711.0511940958017
4449,734921,0.553,4705.965938894912,0.553,2693.437385088733,0.553,1400.0888865028028,0.5485,604.3765996112279,0.5335,95.17378578135704
4450,734921,0.4545,168.8266423932874,0.454,151.99633842486702,0.452,140.41072557955243,0.40950000000000003,147.68035451858418,0.335,240.2045419278576
4451,734921,0.28600000000000003,1356.9716535069772,0.28550000000000003,683.6012326855798,0.28550000000000003,318.274299568709,0.28250000000000003,140.73482654463552,0.264,66.40291472191242
4452,734921,0.3525,217.62599972527119,0.359,246.02714590858744,0.3775,280.7701980002259,0.405,324.07358167984256,0.41100000000000003,370.4714724468842
4453,734921,0.5125,274.2004438930337,0.513,428.42008598619276,0.513,736.7994967292374,0.5125,1484.1475276830424,0.467,5739.922302885809
4454,734921,0.0785,58.74262628759525,0.0785,55.20001009906091,0.0785,51.76511746822476,0.08700000000000001,47.995660132659836,0.108,41.09186980855602
4455,734921,0.0905,6.2642506891096215,0.09,5.352977458836445,0.0845,4.8329864406857395,0.084,4.579319791532341,0.0845,4.941852570416429
4456,734921,0.1925,250.70070241918853,0.1815,197.29717754777897,0.181,155.15201150146547,0.1785,118.479786702551,0.1785,68.74014680655044
4457,734921,0.271,108.93582204838901,0.28500000000000003,119.33044925949635,0.28800000000000003,131.84362727528938,0.293,147.14110951978967,0.3055,168.24270658826373
4458,734921,0.273,227.37478794792625,0.265,248.5999010071029,0.262,263.2605405878783,0.2615,267.3511085568836,0.2505,231.52273829376907
4459,734921,0.2465,24.666215956625976,0.2535,32.52269386670513,0.2775,45.06692363829871,0.2885,68.11472000574014,0.304,160.2332291900832
4460,734921,0.14400000000000002,324.1429510415254,0.155,283.80947871640177,0.1645,239.1878042796361,0.1705,189.78718797361262,0.211,112.57699686933286
